s1Ix,s2Ix,keyCount_f,keyCount_b,keyCount_e,keyCount_a,trialCorrect,trialType,trialResponseType,trialFeedback
0,,1,1,0,0,TRUE,NS,RB,correct
0,,1,0,0,0,FALSE,NS,RL,you must respond with both fingers
0,,0,1,0,0,FALSE,NS,RR,you must respond with both fingers
0,,0,0,1,1,FALSE,NS,RBO,you must respond with other fingers
0,,0,0,1,0,FALSE,NS,RLO,you must respond with both other fingers
0,,0,0,0,1,FALSE,NS,RRO,you must respond with both other fingers
0,,0,0,0,0,FALSE,NS,NR,you must respond
1,,0,0,1,1,TRUE,NS,RB,correct
1,,0,0,1,0,FALSE,NS,RL,you must respond with both fingers
1,,0,0,0,1,FALSE,NS,RR,you must respond with both fingers
1,,1,1,0,0,FALSE,NS,RBO,you must respond with other fingers
1,,1,0,0,0,FALSE,NS,RLO,you must respond with both other fingers
1,,0,1,0,0,FALSE,NS,RRO,you must respond with both other fingers
1,,0,0,0,0,FALSE,NS,NR,you must respond
2,,1,1,0,0,TRUE,NS,RB,correct
2,,1,0,0,0,FALSE,NS,RL,you must respond with both fingers
2,,0,1,0,0,FALSE,NS,RR,you must respond with both fingers
2,,0,0,1,1,FALSE,NS,RBO,you must respond with other fingers
2,,0,0,1,0,FALSE,NS,RLO,you must respond with both other fingers
2,,0,0,0,1,FALSE,NS,RRO,you must respond with both other fingers
2,,0,0,0,0,FALSE,NS,NR,you must respond
3,,0,0,1,1,TRUE,NS,RB,correct
3,,0,0,1,0,FALSE,NS,RL,you must respond with both fingers
3,,0,0,0,1,FALSE,NS,RR,you must respond with both fingers
3,,1,1,0,0,FALSE,NS,RBO,you must respond with other fingers
3,,1,0,0,0,FALSE,NS,RLO,you must respond with both other fingers
3,,0,1,0,0,FALSE,NS,RRO,you must respond with both other fingers
3,,0,0,0,0,FALSE,NS,NR,you must respond
4,,1,1,0,0,TRUE,NS,RB,correct
4,,1,0,0,0,FALSE,NS,RL,you must respond with both fingers
4,,0,1,0,0,FALSE,NS,RR,you must respond with both fingers
4,,0,0,1,1,FALSE,NS,RBO,you must respond with other fingers
4,,0,0,1,0,FALSE,NS,RLO,you must respond with both other fingers
4,,0,0,0,1,FALSE,NS,RRO,you must respond with both other fingers
4,,0,0,0,0,FALSE,NS,NR,you must respond
5,,0,0,1,1,TRUE,NS,RB,correct
5,,0,0,1,0,FALSE,NS,RL,you must respond with both fingers
5,,0,0,0,1,FALSE,NS,RR,you must respond with both fingers
5,,1,1,0,0,FALSE,NS,RBO,you must respond with other fingers
5,,1,0,0,0,FALSE,NS,RLO,you must respond with both other fingers
5,,0,1,0,0,FALSE,NS,RRO,you must respond with both other fingers
5,,0,0,0,0,FALSE,NS,NR,you must respond
6,,1,1,0,0,TRUE,NS,RB,correct
6,,1,0,0,0,FALSE,NS,RL,you must respond with both fingers
6,,0,1,0,0,FALSE,NS,RR,you must respond with both fingers
6,,0,0,1,1,FALSE,NS,RBO,you must respond with other fingers
6,,0,0,1,0,FALSE,NS,RLO,you must respond with both other fingers
6,,0,0,0,1,FALSE,NS,RRO,you must respond with both other fingers
6,,0,0,0,0,FALSE,NS,NR,you must respond
7,,0,0,1,1,TRUE,NS,RB,correct
7,,0,0,1,0,FALSE,NS,RL,you must respond with both fingers
7,,0,0,0,1,FALSE,NS,RR,you must respond with both fingers
7,,1,1,0,0,FALSE,NS,RBO,you must respond with other fingers
7,,1,0,0,0,FALSE,NS,RLO,you must respond with both other fingers
7,,0,1,0,0,FALSE,NS,RRO,you must respond with both other fingers
7,,0,0,0,0,FALSE,NS,NR,you must respond
8,,1,1,0,0,TRUE,NS,RB,correct
8,,1,0,0,0,FALSE,NS,RL,you must respond with both fingers
8,,0,1,0,0,FALSE,NS,RR,you must respond with both fingers
8,,0,0,1,1,FALSE,NS,RBO,you must respond with other fingers
8,,0,0,1,0,FALSE,NS,RLO,you must respond with both other fingers
8,,0,0,0,1,FALSE,NS,RRO,you must respond with both other fingers
8,,0,0,0,0,FALSE,NS,NR,you must respond
9,,0,0,1,1,TRUE,NS,RB,correct
9,,0,0,1,0,FALSE,NS,RL,you must respond with both fingers
9,,0,0,0,1,FALSE,NS,RR,you must respond with both fingers
9,,1,1,0,0,FALSE,NS,RBO,you must respond with other fingers
9,,1,0,0,0,FALSE,NS,RLO,you must respond with both other fingers
9,,0,1,0,0,FALSE,NS,RRO,you must respond with both other fingers
9,,0,0,0,0,FALSE,NS,NR,you must respond
0,0,1,1,0,0,FALSE,SL,RB,try to stop left
0,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
0,0,0,1,0,0,TRUE,SL,RR,correct
0,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
0,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
0,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
0,0,0,0,0,0,FALSE,SL,NR,you must respond with right
1,0,0,0,1,1,FALSE,SL,RB,try to stop left
1,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
1,0,0,0,0,1,TRUE,SL,RR,correct
1,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
1,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
1,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
1,0,0,0,0,0,FALSE,SL,NR,you must respond with right
2,0,1,1,0,0,FALSE,SL,RB,try to stop left
2,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
2,0,0,1,0,0,TRUE,SL,RR,correct
2,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
2,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
2,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
2,0,0,0,0,0,FALSE,SL,NR,you must respond with right
3,0,0,0,1,1,FALSE,SL,RB,try to stop left
3,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
3,0,0,0,0,1,TRUE,SL,RR,correct
3,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
3,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
3,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
3,0,0,0,0,0,FALSE,SL,NR,you must respond with right
4,0,1,1,0,0,FALSE,SL,RB,try to stop left
4,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
4,0,0,1,0,0,TRUE,SL,RR,correct
4,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
4,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
4,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
4,0,0,0,0,0,FALSE,SL,NR,you must respond with right
5,0,0,0,1,1,FALSE,SL,RB,try to stop left
5,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
5,0,0,0,0,1,TRUE,SL,RR,correct
5,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
5,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
5,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
5,0,0,0,0,0,FALSE,SL,NR,you must respond with right
6,0,1,1,0,0,FALSE,SL,RB,try to stop left
6,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
6,0,0,1,0,0,TRUE,SL,RR,correct
6,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
6,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
6,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
6,0,0,0,0,0,FALSE,SL,NR,you must respond with right
7,0,0,0,1,1,FALSE,SL,RB,try to stop left
7,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
7,0,0,0,0,1,TRUE,SL,RR,correct
7,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
7,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
7,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
7,0,0,0,0,0,FALSE,SL,NR,you must respond with right
8,0,1,1,0,0,FALSE,SL,RB,try to stop left
8,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
8,0,0,1,0,0,TRUE,SL,RR,correct
8,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
8,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
8,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
8,0,0,0,0,0,FALSE,SL,NR,you must respond with right
9,0,0,0,1,1,FALSE,SL,RB,try to stop left
9,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
9,0,0,0,0,1,TRUE,SL,RR,correct
9,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
9,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
9,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
9,0,0,0,0,0,FALSE,SL,NR,you must respond with right
0,1,1,1,0,0,FALSE,SR,RB,try to stop right
0,1,1,0,0,0,TRUE,SR,RL,correct
0,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
0,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
0,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
