s1Ix,s2Ix,keyCount_f,keyCount_h,keyCount_v,keyCount_b,trialCorrect,trialLabel,trialLabelAbbrev,trialFeedback
0,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
0,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
0,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
1,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
1,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
1,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
2,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
2,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
2,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
3,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
3,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
3,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
4,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
4,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
4,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
5,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
5,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
5,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
6,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
6,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
6,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
7,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
7,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
7,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
8,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
8,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
8,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
9,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
9,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
9,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
0,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
0,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
0,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
