sessionIx,blockIx,trialIx,trialOns,waitForTrigger,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur
1,0,0,0,TRUE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,1,2,FALSE,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6
1,0,2,4,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,0,3,6,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,0,4,8,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,5,10,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,6,12,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,7,14,FALSE,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6
1,0,8,16,FALSE,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6
1,0,9,18,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,10,20,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,11,22,FALSE,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6
1,0,12,24,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,13,26,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,14,28,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,0,15,30,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,16,32,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,17,34,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,0,18,36,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,0,19,38,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,20,40,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,21,42,FALSE,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6
1,0,22,44,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,23,46,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,24,48,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,25,50,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,26,52,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,27,54,FALSE,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6
1,0,28,56,FALSE,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6
1,0,29,58,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,30,60,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,31,62,FALSE,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6
1,0,32,64,FALSE,0,0,0.2,,,,0,0.2,1.2,2,4,0.666,0.6
1,0,33,66,FALSE,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6
1,0,34,68,FALSE,0,0,0.2,,,,0,0.2,1.2,1,2,0.466,0.6
1,0,35,70,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,36,72,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,37,74,FALSE,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6
1,0,38,76,FALSE,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6
1,0,39,78,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,0,40,80,FALSE,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6
1,0,41,82,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,42,84,FALSE,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6
1,0,43,86,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,44,88,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
