sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,0,0,0,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,1,2,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6,0.6
1,0,2,4,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,0,3,6,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,0,4,8,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,5,10,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,6,12,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,7,14,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6,0.6
1,0,8,16,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6,0.6
1,0,9,18,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,10,20,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,11,22,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6,0.6
1,0,12,24,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,13,26,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,14,28,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,0,15,30,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,16,32,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,17,34,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,0,18,36,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,0,19,38,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,20,40,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,21,42,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6,0.6
1,0,22,44,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,23,46,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,24,48,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,25,50,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,26,52,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,27,54,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6,0.6
1,0,28,56,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6,0.6
1,0,29,58,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,30,60,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,31,62,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6,0.6
1,0,32,64,0,0,0.2,,,,0,0.2,1.2,2,4,0.666,0.6,0.6
1,0,33,66,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6,0.6
1,0,34,68,0,0,0.2,,,,0,0.2,1.2,1,2,0.466,0.6,0.6
1,0,35,70,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,36,72,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,37,74,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6,0.6
1,0,38,76,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6,0.6
1,0,39,78,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,0,40,80,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6,0.6
1,0,41,82,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,42,84,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6,0.6
1,0,43,86,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,44,88,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,45,90,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
