s1Ix,s2Ix,keyCount_f,keyCount_h,keyCount_v,keyCount_b,trialCorrect,trialLabel,trialLabelAbbrev,trialFeedback
0,,0,0,0,0,FALSE,no-signal omission error,NS_omit,you must respond
0,,1,1,0,0,TRUE,no-signal correct choice,NS_correct,correct
0,,0,0,1,1,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
1,,0,0,0,0,FALSE,no-signal omission-error,NS_omit,you must respond
1,,1,1,0,0,FALSE,no-signal choice error,NS_commit,you must respond with other fingers
1,,0,0,1,1,TRUE,no-signal correct choice,NS_correct,correct
0,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
0,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
0,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
0,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
0,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
0,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
0,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
1,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
1,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
1,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
1,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
1,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
1,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
1,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
0,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
0,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
0,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
0,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
0,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
0,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
0,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
1,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
1,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
1,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
1,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
1,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
1,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
1,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
0,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
0,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
0,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
0,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
0,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
0,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
0,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
1,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
1,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
1,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
1,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
1,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
1,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
1,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
0,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
0,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
0,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
0,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
0,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
0,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
0,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
1,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
1,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
1,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
1,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
1,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
1,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
1,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
