sessionIx,blockIx,trialIx,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,0,0,0,0,0.25,,,,0,0.25,1,,,,,1
1,0,1,0,0,0.25,,,,1,0.25,1,1,1,0.5,0.5,1
1,0,2,0,0,0.25,,,,0,0.25,1,,,,,1
1,0,3,0,0,0.25,,,,1,0.25,1,,,,,1
1,0,4,0,0,0.25,,,,0,0.25,1,,,,,1
1,1,0,0,0,0.25,,,,0,0.25,1,1,2,0.6,0.5,1
1,1,1,0,0,0.25,,,,1,0.25,1,,,,,1
1,1,2,0,0,0.25,,,,0,0.25,1,,,,,1
1,1,3,0,0,0.25,,,,1,0.25,1,,,,,1
1,1,4,0,0,0.25,,,,0,0.25,1,,,,,1
1,2,0,0,0,0.25,,,,1,0.25,1,,,,,1
1,2,1,0,0,0.25,,,,0,0.25,1,,,,,1
1,2,2,0,0,0.25,,,,1,0.25,1,2,1,0.5,0.5,1
1,2,3,0,0,0.25,,,,0,0.25,1,,,,,1
1,2,4,0,0,0.25,,,,1,0.25,1,,,,,1
1,3,0,0,0,0.25,,,,0,0.25,1,2,2,0.6,0.5,1
1,3,1,0,0,0.25,,,,1,0.25,1,,,,,1
1,3,2,0,0,0.25,,,,0,0.25,1,,,,,1
1,3,3,0,0,0.25,,,,1,0.25,1,,,,,1
