sessionIx,blockIx,trialIx,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
0,0,0,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,0,1,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,0,2,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,0,3,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,0,4,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,0,5,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,0,6,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,0,7,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,0,8,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,0,9,0,0,0.25,,,,0,0.25,1.5,,,,,0.75
0,1,0,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,1,1,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,1,2,0,0,0.25,,,,0,0.25,1.5,0,0,0.35,0.7,0.75
0,1,3,0,0,0.25,,,,0,0.25,1.5,0,1,0.5,0.7,0.75
0,1,4,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,1,5,0,0,0.25,,,,0,0.25,1.5,1,0,0.35,0.7,0.75
0,1,6,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,1,7,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,1,8,0,0,0.25,,,,0,0.25,1.5,1,4,0.95,0.7,0.75
0,1,9,0,0,0.25,,,,0,0.25,1.5,1,3,0.7,0.7,0.75
0,2,0,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
0,2,1,0,0,0.25,,,,1,0.25,1.5,3,1,0.5,0.7,0.75
0,2,2,0,0,0.25,,,,1,0.25,1.5,2,0,0.35,0.7,0.75
0,2,3,0,0,0.25,,,,0,0.25,1.5,3,0,0.35,0.7,0.75
0,2,4,0,0,0.25,,,,1,0.25,1.5,,,,,0.75
